|Indent|Reference|Text|Document|Page|Heading|full_reference|word_count|chapter_no|chapter_heading|part_no|part_heading|condition_no|condition_heading
1|0|2.|Purpose of Act|||True|2.|3|1|DEFINITIONS AND PURPOSE||||
2|0||The purpose of this Act is to—|||False|2.|7|1|DEFINITIONS AND PURPOSE||||
3|2|(a)|give effect to the constitutional right to privacy, by safeguarding personal information when processed by a responsible party, subject to justifiable limitations that are aimed at—|||False|2.(a)|26|1|DEFINITIONS AND PURPOSE||||
4|3|(i)|balancing the right to privacy against other rights, particularly the right of access to information; and|||False|2.(a)(i)|16|1|DEFINITIONS AND PURPOSE||||
5|3|(ii)|protecting important interests, including the free flow of information within the Republic and across international borders;|||False|2.(a)(ii)|16|1|DEFINITIONS AND PURPOSE||||
6|2|(b)|regulate the manner in which personal information may be processed, by establishing conditions, in harmony with international standards, that prescribe the minimum threshold requirements for the lawful processing of personal information;|||False|2.(b)|31|1|DEFINITIONS AND PURPOSE||||
7|2|(c)|provide persons with rights and remedies to protect their personal information from processing that is not in accordance with this Act; and|||False|2.(c)|22|1|DEFINITIONS AND PURPOSE||||
8|2|(d)|establish voluntary and compulsory measures, including the establishment of an Information Regulator, to ensure respect for and to promote, enforce and fulfil the rights protected by this Act.|||False|2.(d)|28|1|DEFINITIONS AND PURPOSE||||
10|0|3.|Application and interpretation of Act|||True|3.|5|2|APPLICATION PROVISIONS||||
11|1|(1)|This Act applies to the processing of personal information—|||False|3.(1)|9|2|APPLICATION PROVISIONS||||
12|2|(a)|entered in a record by or for a responsible party by making use of automated or non-automated means: Provided that when the recorded personal information is processed by non-automated means, it forms part of a filing system or is intended to form part thereof; and|||False|3.(1)(a)|45|2|APPLICATION PROVISIONS||||
13|2|(b)|where the responsible party is—|||False|3.(1)(b)|5|2|APPLICATION PROVISIONS||||
14|3|(i)|domiciled in the Republic; or|||False|3.(1)(b)(i)|5|2|APPLICATION PROVISIONS||||
15|3|(ii)|not domiciled in the Republic, but makes use of automated or non-automated means in the Republic, unless those means are used only to forward personal information through the Republic.|||False|3.(1)(b)(ii)|29|2|APPLICATION PROVISIONS||||
16|1|(2)||||False|3.(2)|0|2|APPLICATION PROVISIONS||||
17|2|(a)|This Act applies, subject to paragraph (b), to the exclusion of any provision of any other legislation that regulates the processing of personal information and that is materially inconsistent with an object, or a specific provision, of this Act.|||False|3.(2)(a)|39|2|APPLICATION PROVISIONS||||
18|2|(b)|If any other legislation provides for conditions for the lawful processing of personal information that are more extensive than those set out in Chapter 3, the extensive conditions prevail.|||False|3.(2)(b)|29|2|APPLICATION PROVISIONS||||
19|1|(3)|This Act must be interpreted in a manner that—|||False|3.(3)|9|2|APPLICATION PROVISIONS||||
20|2|(a)|gives effect to the purpose of the Act set out in section 2; and|||False|3.(3)(a)|14|2|APPLICATION PROVISIONS||||
21|2|(b)|does not prevent any public or private body from exercising or performing its powers, duties and functions in terms of the law as far as such powers, duties and functions relate to the processing of personal information and such processing is in accordance with this Act or any other legislation, as referred to in subsection (2), that regulates the processing of personal information.|||False|3.(3)(b)|63|2|APPLICATION PROVISIONS||||
22|1|(4)|"""Automated means"", for the purposes of this section, means any equipment capable of operating automatically in response to instructions given for the purpose of processing information."|||False|3.(4)|26|2|APPLICATION PROVISIONS||||
23|0|4.|Lawful processing of personal information|||True|4.|5|2|APPLICATION PROVISIONS||||
24|1|(1)|The conditions for the lawful processing of personal information by or for a responsible party are the following:|||False|4.(1)|18|2|APPLICATION PROVISIONS||||
25|2|(a)|"""Accountability"", as referred to in section 8;"|||False|4.(1)(a)|7|2|APPLICATION PROVISIONS||||
